Name,Entity Type,Externally Defined Format,Description
OpenFluorSearch__reservoir_eems_20210424.csv,,,OpenFluor results for the identified 4-component PARAFAC model. Includes TCC (Tucker Congruence Coeffcient) matches > 90% for each component. Matched studies are identified by their DOI.
p_20190905_3DEEM_F13Jun19_9.0R1.csv,,,"Corrected EEM for sample 13 June 2019, FCR, Site 50, Depth 9.0 m, Rep 1"
p_20190909_F03Jul19_0.1mR1_50Dil.csv,,,"Corrected EEM for sample 03 July 2019, FCR, Site 50, Depth 0.1 m, Rep 1, Dilution 1:2"
p_20190909_F03Jul19_5mR2_50Dil.csv,,,"Corrected EEM for sample 03 July 2019, FCR, Site 50, Depth 5.0 m, Rep 2, Dilution 1:2"
p_20190909_F03Jul19_9mR1.csv,,,"Corrected EEM for sample 03 July 2019, FCR, Site 50, Depth 9.0 m, Rep 1"
p_20190909_F13Jun19_5mR1.csv,,,"Corrected EEM for sample 13 June 2019, FCR, Site 50, Depth 5.0 m, Rep 1"
p_20190909_F15Jul19_0.1mR1_50Dil.csv,,,"Corrected EEM for sample 15 July 2019, FCR, Site 50, Depth 0.1 m, Rep 1, Dilution 1:2"
p_20190909_F15Jul19_5mR2_50Dil.csv,,,"Corrected EEM for sample 15 July 2019, FCR, Site 50, Depth 5.0 m, Rep 2, Dilution 1:2"
p_20190909_F15Jul19_9.0mR2.csv,,,"Corrected EEM for sample 15 July 2019, FCR, Site 50, Depth 9.0 m, Rep 2"
p_20190909_F27May19_0.1mR1.csv,,,"Corrected EEM for sample 27 May 2019, FCR, Site 50, Depth 0.1 m, Rep 1"
p_20190909_F27May19_5mR1.csv,,,"Corrected EEM for sample 27 May 2019, FCR, Site 50, Depth 5.0 m, Rep 1"
p_20190909_F27May19_9mR2_50Dil.csv,,,"Corrected EEM for sample 27 May 2019, FCR, Site 50, Depth 9.0 m, Rep 2, Dilution 1:2"
p_20190930_F14Aug19_0.1m_Dil.csv,,,"Corrected EEM for sample 14 August 2019, FCR, Site 50, Depth 0.1 m, Rep 2, Dilution 1:2"
p_20190930_F14Aug19_5m_R1_Dil.csv,,,"Corrected EEM for sample 14 August 2019, FCR, Site 50, Depth 5.0 m, Rep 1, Dilution 1:2"
p_20190930_F14Aug19_9m_R2_Dil.csv,,,"Corrected EEM for sample 14 August 2019, FCR, Site 50, Depth 9.0 m, Rep 2, Dilution 1:2"
p_20190930_F14Aug19_9m_R2_DilFlt.csv,,,"Corrected EEM for sample 14 August 2019, FCR, Site 50, Depth 9.0 m, Rep 2, Dilution 1:2, 0.2 um filtered"
p_20190930_F15Jul19_5m_R1_Dil.csv,,,"Corrected EEM for sample 15 July 2019, FCR, Site 50, Depth 5.0 m, Rep 1, Dilution 1:2"
p_20190930_F22Aug19_9m_R2_Dil.csv,,,"Corrected EEM for sample 22 August 2019, FCR, Site 50, Depth 9.0 m, Rep 2, Dilution 1:2"
p_20190930_F3Jul19_5m_R1FltDil.csv,,,"Corrected EEM for sample 3 July 2019, FCR, Site 50, Depth 5.0 m, Rep 1, Dilution 1:2, 0.2 um filtered"
