Name,Entity Type,Externally Defined Format,Description
20190905_CDOM_Corr.csv,,,CDOM correction file for analysis date 2019-09-05
20190909_CDOM_Corr.csv,,,CDOM correction file for analysis date 2019-09-09
20190930_CDOM_Corr.csv,,,CDOM correction file for analysis date 2019-09-30
20191115_CDOM_Corr.csv,,,CDOM correction file for analysis date 2019-11-15
20200114_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-01-14
20200116_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-01-16
20200117_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-01-17
20200124_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-01-24
20200131_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-01-31
20200203_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-02-03
20200205_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-02-05
20200212_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-02-12
20200214_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-02-14
20200217_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-02-17
20200221_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-02-21
20200224_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-02-24
20200227_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-02-27
20200228_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-02-28
20200302_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-03-02
20200320_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-03-20
20200323_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-03-23
20200727_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-07-27
20200728_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-07-28
20200729_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-07-29
20200730_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-07-30
20200731_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-07-31
20200801_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-08-01
20200804_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-08-04
20200805_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-08-05
20200807_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-08-07
20200808_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-08-08
20200810_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-08-10
20200820_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-08-20
20201028_CDOM_Corr.csv,,,CDOM correction file for analysis date 2020-10-28
