Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
190.00	0.009	0.417	0.469	0.375	0.386	0.370	0.424	0.380	0.385	0.342	0.399	0.339	0.509	0.576	0.419	0.429
191.00	0.008	0.384	0.428	0.343	0.352	0.337	0.385	0.350	0.347	0.313	0.368	0.305	0.468	0.527	0.387	0.395
192.00	0.007	0.353	0.387	0.312	0.322	0.306	0.352	0.320	0.318	0.288	0.339	0.279	0.430	0.484	0.354	0.364
193.00	0.007	0.319	0.346	0.280	0.291	0.273	0.316	0.288	0.283	0.259	0.310	0.249	0.387	0.432	0.321	0.330
194.00	0.006	0.293	0.314	0.255	0.265	0.247	0.288	0.262	0.258	0.238	0.286	0.226	0.356	0.392	0.296	0.303
195.00	0.006	0.268	0.283	0.232	0.242	0.223	0.262	0.238	0.234	0.217	0.264	0.206	0.326	0.354	0.271	0.278
196.00	0.006	0.247	0.257	0.212	0.222	0.204	0.240	0.218	0.215	0.201	0.246	0.188	0.301	0.323	0.250	0.258
197.00	0.006	0.227	0.235	0.194	0.204	0.186	0.220	0.200	0.196	0.185	0.229	0.173	0.277	0.295	0.231	0.240
198.00	0.005	0.209	0.216	0.179	0.188	0.171	0.202	0.184	0.180	0.172	0.214	0.160	0.257	0.271	0.215	0.224
199.00	0.005	0.195	0.200	0.166	0.176	0.158	0.187	0.171	0.166	0.162	0.203	0.149	0.240	0.252	0.201	0.211
200.00	0.005	0.183	0.187	0.155	0.165	0.148	0.175	0.161	0.155	0.153	0.193	0.140	0.226	0.235	0.191	0.200
201.00	0.004	0.171	0.174	0.145	0.155	0.138	0.163	0.151	0.145	0.145	0.184	0.131	0.212	0.220	0.181	0.190
202.00	0.004	0.161	0.164	0.136	0.146	0.129	0.152	0.141	0.135	0.137	0.176	0.123	0.200	0.206	0.172	0.181
203.00	0.004	0.153	0.155	0.128	0.138	0.121	0.144	0.134	0.128	0.130	0.169	0.117	0.191	0.195	0.165	0.173
204.00	0.004	0.145	0.148	0.122	0.131	0.115	0.136	0.127	0.121	0.124	0.163	0.111	0.182	0.185	0.158	0.166
205.00	0.003	0.138	0.142	0.116	0.125	0.109	0.129	0.121	0.115	0.119	0.157	0.106	0.175	0.176	0.152	0.160
206.00	0.003	0.133	0.137	0.111	0.120	0.105	0.123	0.116	0.110	0.114	0.152	0.101	0.168	0.169	0.146	0.154
207.00	0.003	0.127	0.132	0.106	0.115	0.100	0.118	0.111	0.105	0.110	0.147	0.097	0.162	0.163	0.142	0.149
208.00	0.003	0.123	0.129	0.103	0.111	0.096	0.114	0.107	0.101	0.106	0.142	0.094	0.157	0.158	0.137	0.145
209.00	0.003	0.118	0.125	0.099	0.107	0.093	0.109	0.103	0.097	0.103	0.137	0.091	0.152	0.153	0.132	0.140
210.00	0.003	0.115	0.122	0.095	0.104	0.089	0.106	0.100	0.094	0.100	0.133	0.088	0.148	0.149	0.129	0.135
211.00	0.003	0.111	0.119	0.093	0.101	0.087	0.102	0.097	0.091	0.097	0.128	0.085	0.143	0.145	0.124	0.130
212.00	0.003	0.107	0.116	0.089	0.097	0.084	0.098	0.094	0.087	0.094	0.123	0.082	0.139	0.141	0.120	0.126
213.00	0.003	0.104	0.113	0.087	0.094	0.081	0.095	0.091	0.084	0.091	0.118	0.080	0.135	0.137	0.116	0.121
214.00	0.003	0.101	0.110	0.084	0.091	0.079	0.092	0.088	0.082	0.088	0.113	0.077	0.131	0.133	0.112	0.117
215.00	0.003	0.098	0.108	0.082	0.089	0.077	0.089	0.086	0.080	0.086	0.108	0.075	0.127	0.130	0.108	0.112
216.00	0.003	0.095	0.106	0.080	0.086	0.075	0.086	0.083	0.077	0.084	0.103	0.073	0.124	0.127	0.104	0.108
217.00	0.002	0.093	0.104	0.077	0.084	0.072	0.084	0.081	0.075	0.082	0.099	0.071	0.120	0.125	0.100	0.104
218.00	0.002	0.091	0.102	0.075	0.082	0.071	0.082	0.079	0.073	0.080	0.094	0.070	0.117	0.122	0.097	0.100
219.00	0.002	0.089	0.100	0.074	0.080	0.069	0.080	0.077	0.071	0.078	0.090	0.068	0.115	0.120	0.094	0.096
220.00	0.002	0.087	0.098	0.072	0.078	0.067	0.077	0.076	0.069	0.077	0.086	0.066	0.112	0.117	0.090	0.093
221.00	0.002	0.085	0.096	0.070	0.077	0.066	0.075	0.074	0.068	0.075	0.082	0.065	0.109	0.115	0.087	0.089
222.00	0.002	0.083	0.094	0.069	0.075	0.064	0.074	0.072	0.066	0.073	0.078	0.063	0.107	0.113	0.085	0.086
223.00	0.003	0.082	0.093	0.068	0.074	0.063	0.072	0.071	0.065	0.072	0.075	0.062	0.104	0.111	0.082	0.083
224.00	0.002	0.080	0.091	0.066	0.072	0.061	0.070	0.069	0.063	0.070	0.072	0.061	0.102	0.109	0.079	0.080
225.00	0.002	0.078	0.090	0.065	0.071	0.060	0.069	0.068	0.062	0.069	0.069	0.059	0.099	0.107	0.077	0.077
226.00	0.002	0.077	0.088	0.063	0.069	0.059	0.067	0.066	0.060	0.067	0.066	0.058	0.097	0.104	0.075	0.074
227.00	0.002	0.075	0.087	0.062	0.068	0.058	0.066	0.065	0.059	0.066	0.063	0.057	0.095	0.103	0.073	0.072
228.00	0.002	0.074	0.085	0.061	0.067	0.056	0.065	0.064	0.058	0.065	0.061	0.056	0.093	0.101	0.071	0.070
229.00	0.002	0.072	0.084	0.060	0.066	0.055	0.063	0.063	0.057	0.063	0.059	0.055	0.091	0.099	0.069	0.068
230.00	0.002	0.071	0.082	0.058	0.064	0.054	0.062	0.061	0.055	0.062	0.057	0.053	0.089	0.097	0.067	0.066
231.00	0.002	0.069	0.081	0.057	0.063	0.053	0.060	0.060	0.054	0.061	0.055	0.052	0.087	0.095	0.065	0.064
232.00	0.002	0.068	0.079	0.056	0.062	0.052	0.059	0.059	0.053	0.060	0.053	0.051	0.085	0.093	0.063	0.062
233.00	0.002	0.066	0.078	0.055	0.061	0.051	0.058	0.058	0.052	0.059	0.051	0.050	0.083	0.091	0.062	0.061
234.00	0.002	0.065	0.077	0.054	0.060	0.050	0.057	0.057	0.051	0.058	0.050	0.050	0.082	0.089	0.061	0.059
235.00	0.002	0.064	0.075	0.053	0.059	0.049	0.055	0.056	0.050	0.057	0.049	0.049	0.080	0.087	0.059	0.058
236.00	0.002	0.063	0.074	0.052	0.058	0.048	0.055	0.055	0.049	0.056	0.047	0.048	0.078	0.086	0.058	0.057
237.00	0.002	0.062	0.073	0.052	0.057	0.047	0.054	0.054	0.048	0.055	0.046	0.047	0.077	0.084	0.057	0.056
238.00	0.002	0.061	0.072	0.051	0.056	0.047	0.053	0.053	0.048	0.054	0.046	0.047	0.076	0.083	0.056	0.055
239.00	0.002	0.060	0.071	0.050	0.055	0.046	0.052	0.053	0.047	0.053	0.045	0.046	0.074	0.082	0.055	0.054
240.00	0.002	0.059	0.071	0.049	0.054	0.046	0.051	0.052	0.046	0.052	0.044	0.045	0.073	0.080	0.054	0.053
241.00	0.001	0.058	0.070	0.048	0.054	0.045	0.050	0.051	0.045	0.052	0.043	0.044	0.072	0.079	0.053	0.052
242.00	0.001	0.058	0.069	0.048	0.053	0.044	0.050	0.050	0.045	0.051	0.042	0.044	0.071	0.078	0.053	0.051
243.00	0.001	0.057	0.068	0.047	0.052	0.043	0.049	0.049	0.044	0.050	0.042	0.043	0.070	0.076	0.052	0.051
244.00	0.001	0.056	0.067	0.047	0.052	0.043	0.048	0.049	0.044	0.049	0.041	0.043	0.069	0.075	0.051	0.050
245.00	0.001	0.056	0.066	0.046	0.051	0.043	0.048	0.048	0.043	0.049	0.041	0.042	0.068	0.074	0.051	0.049
246.00	0.001	0.055	0.066	0.046	0.051	0.042	0.047	0.048	0.043	0.049	0.040	0.042	0.068	0.074	0.050	0.049
247.00	0.001	0.055	0.065	0.045	0.050	0.042	0.047	0.047	0.042	0.048	0.040	0.042	0.067	0.073	0.049	0.048
248.00	0.001	0.054	0.064	0.045	0.050	0.041	0.046	0.047	0.042	0.048	0.039	0.041	0.066	0.072	0.049	0.048
249.00	0.001	0.053	0.064	0.044	0.049	0.041	0.046	0.046	0.042	0.047	0.039	0.041	0.066	0.071	0.048	0.047
250.00	0.001	0.053	0.063	0.044	0.049	0.041	0.046	0.046	0.041	0.047	0.039	0.040	0.065	0.071	0.048	0.047
251.00	0.001	0.053	0.063	0.044	0.049	0.041	0.046	0.046	0.041	0.047	0.038	0.040	0.065	0.070	0.048	0.047
252.00	0.001	0.053	0.062	0.044	0.048	0.040	0.045	0.045	0.041	0.046	0.038	0.040	0.064	0.070	0.047	0.046
253.00	0.001	0.052	0.061	0.043	0.048	0.040	0.045	0.045	0.040	0.046	0.037	0.040	0.064	0.069	0.047	0.046
254.00	0.001	0.052	0.061	0.043	0.047	0.039	0.044	0.044	0.040	0.045	0.037	0.039	0.063	0.068	0.046	0.045
255.00	0.001	0.051	0.060	0.042	0.047	0.039	0.044	0.044	0.040	0.045	0.037	0.039	0.063	0.067	0.046	0.045
256.00	0.001	0.051	0.060	0.042	0.047	0.039	0.044	0.044	0.040	0.045	0.037	0.039	0.063	0.067	0.046	0.044
257.00	0.001	0.051	0.060	0.042	0.046	0.039	0.044	0.043	0.039	0.044	0.036	0.038	0.062	0.067	0.045	0.044
258.00	0.001	0.050	0.059	0.041	0.046	0.038	0.043	0.043	0.039	0.044	0.036	0.038	0.062	0.066	0.045	0.044
259.00	0.001	0.050	0.058	0.041	0.046	0.038	0.043	0.042	0.038	0.043	0.035	0.037	0.061	0.065	0.044	0.043
260.00	0.001	0.050	0.058	0.041	0.045	0.038	0.042	0.042	0.038	0.043	0.035	0.037	0.061	0.065	0.044	0.043
261.00	0.001	0.049	0.058	0.040	0.045	0.037	0.042	0.042	0.038	0.042	0.035	0.037	0.060	0.064	0.043	0.042
262.00	0.001	0.049	0.057	0.040	0.044	0.037	0.042	0.041	0.037	0.042	0.034	0.036	0.060	0.063	0.043	0.042
263.00	0.001	0.048	0.056	0.039	0.044	0.036	0.041	0.040	0.037	0.041	0.034	0.036	0.059	0.063	0.042	0.041
264.00	0.001	0.048	0.056	0.039	0.043	0.036	0.041	0.040	0.036	0.041	0.033	0.036	0.059	0.062	0.042	0.041
265.00	0.001	0.047	0.055	0.038	0.043	0.036	0.040	0.039	0.036	0.041	0.033	0.035	0.058	0.061	0.042	0.040
266.00	0.001	0.047	0.054	0.038	0.043	0.035	0.040	0.039	0.036	0.040	0.033	0.035	0.057	0.060	0.041	0.040
267.00	0.001	0.046	0.054	0.037	0.042	0.035	0.039	0.038	0.035	0.039	0.032	0.034	0.056	0.060	0.041	0.040
268.00	0.001	0.046	0.053	0.036	0.041	0.034	0.039	0.038	0.034	0.039	0.032	0.033	0.056	0.059	0.040	0.039
269.00	0.001	0.045	0.052	0.036	0.041	0.033	0.038	0.037	0.034	0.038	0.031	0.033	0.055	0.058	0.039	0.038
270.00	0.001	0.044	0.052	0.035	0.040	0.033	0.038	0.037	0.034	0.038	0.031	0.033	0.054	0.057	0.039	0.038
271.00	0.001	0.044	0.051	0.035	0.040	0.032	0.037	0.036	0.033	0.037	0.030	0.032	0.053	0.056	0.038	0.037
272.00	0.001	0.043	0.050	0.034	0.039	0.032	0.036	0.035	0.032	0.037	0.030	0.031	0.053	0.055	0.038	0.037
