attributeName	attributeDefinition	class	unit	dateTimeFormatString	missingValueCode	missingValueCodeExplanation
Reservoir	Three-letter code corresponding to sampled reservoir	categorical			NA	value is missing
Site	Sampling site at each reservoir; see site_descriptions.csv provided in this data package for further information regarding sampling sites	numeric	dimensionless		NA	value is missing
DateTime	Date of sampling. All data were collected in the eastern time zone of the U.S.A. with daylight savings observed	Date		YYYY-MM-DD hh:mm:ss	NA	value is missing
Depth_m	The depth at which the sample was taken within the reservoir	numeric	meter		NA	value is missing
Rep	"Replicate sample number. Samples are coded as either 1 or 2 for the first and second replicate, respectively"	numeric	dimensionless		NA	value is missing
Dilution	"Dilution factor for sample. Samples are labeled based on dilution factor (ex. 1,2)"	numeric	dimensionless		NA	value is missing
a254_m	Napierian absorbance coefficient at 254 nm	numeric	perMeter		NA	value is missing
a350_m	Napierian absorbance coefficient at 350 nm	numeric	perMeter		NA	value is missing
S275_295	Average slope calculated from the natural log of naperian absorbance coefficients from 275 nm to 295 nm	numeric	perMeter		NA	value is missing
S350_400	Average slope calculated from the natural log of naperian absorbance coefficients from 350 nm to 400 nm	numeric	perMeter		NA	value is missing
Sr	The slope ratio calculated as S275_295/S350_400	numeric	dimensionless		NA	value is missing
Max_FL_Ex	Excitation wavelength of maximum fluorescence	numeric	nanometer		NA	value is missing
Max_FL_Em	Emission wavelength of maximum fluorescence	numeric	nanometer		NA	value is missing
Max_FL	Maximum fluorescence intensity	numeric	relativeFluorescenceUnites		NA	value is missing
B	"Peak B, Fluorescent intensity measured at Ex = 275 nm; Em = 305 nm"	numeric	relativeFluorescenceUnites		NA	value is missing
T	"Peak T, Fluorescent intensity measured at Ex = 275 nm; Em = 340 nm"	numeric	relativeFluorescenceUnites		NA	value is missing
A	"Peak A, Fluorescent intensity measured at Ex = 260 nm; Em = 400-460 nm"	numeric	relativeFluorescenceUnites		NA	value is missing
C	"Peak C, Fluorescent intensity measured at Ex = 320-360 nm; Em = 420-460 nm"	numeric	relativeFluorescenceUnites		NA	value is missing
M	"Peak M, Fluorescent intensity measured at Ex = 290-310 nm; Em = 370-410 nm"	numeric	relativeFluorescenceUnites		NA	value is missing
N	"Peak N, Fluorescent intensity measured at Ex = 280 nm; Em = 370 nm"	numeric	relativeFluorescenceUnites		NA	value is missing
FI	"Fluorescent index (FI), Ratio of fluorescent intensity measured at Ex = 370 nm; Em = 450 nm/500 nm"	numeric	dimensionless		NA	value is missing
BIX	"Biological Index (BIX), Ratio of fluorescent intensity measured at Ex = 310 nm; Em = 380 nm/430 nm"	numeric	dimensionless		NA	value is missing
HIX	"Humification index (HIX), Ratio of fluorescent intensity measured at Ex = 254 nm; Em = 435-480 nm/300-345 nm"	numeric	dimensionless		NA	value is missing
T_B	The ratio of peak T and peak B.	numeric	dimensionless		NA	value is missing
T_M	The ratio of peak T and peak M.	numeric	dimensionless		NA	value is missing
T_N	The ratio of peak T and peak N.	numeric	dimensionless		NA	value is missing
T_C	The ratio of peak T and peak C.	numeric	dimensionless		NA	value is missing
A_T	The ratio of peak A and peak T.	numeric	dimensionless		NA	value is missing
A_C	The ratio of peak A and peak C.	numeric	dimensionless		NA	value is missing
A_M	The ratio of peak A and peak M.	numeric	dimensionless		NA	value is missing
M_C	The ratio of peak M and peak C.	numeric	dimensionless		NA	value is missing
C_N	The ratio of peak C and peak N.	numeric	dimensionless		NA	value is missing
Fmax1	Fluorescent intensity of Component 1 identified by PARAFAC	numeric	relativeFluorescenceUnites		NA	value is missing
Fmax2	Fluorescent intensity of Component 2 identified by PARAFAC	numeric	relativeFluorescenceUnites		NA	value is missing
Fmax3	Fluorescent intensity of Component 3 identified by PARAFAC	numeric	relativeFluorescenceUnites		NA	value is missing
Fmax4	Fluorescent intensity of Component 4 identified by PARAFAC	numeric	relativeFluorescenceUnites		NA	value is missing
abs_Flag	Flag for all absorbance parameters: 0 = Data are good; 1 = Absorbance not collected; 2 = Low absorbance values; use with caution	numeric	dimensionless		NA	value is missing
fl_Flag	Flag for all fluorescence parameters: 0 = Data are good; 1 = Fluorescence not collected	numeric	dimensionless		NA	value is missing
