"Reservoir","Site","Site_description","Latitude","Longitude"
"BVR",20,"Pelagic upstream site on western arm in central part of depth transect of Beaverdam Reservoir approximately 1/3 of the distance between the western reservoir inflow and the confluence of the two reservoir arms closest to the inflow (when reservoir is at full pond)",37.31701,-79.8226
"BVR",30,"Pelagic upstream site on eastern arm in central part of depth transect at Beaverdam Reservoir; approximately halfway point between eastern reservoir inflow and confluence of two reservoir arms (when reservoir is at full pond)",37.31921,-79.8182
"BVR",45,"Pelagic upstream site in central part of depth transect of Beaverdam Reservoir approximately halfway from reservoir arm confluence and the dam",37.31447,-79.8187
"BVR",50,"Pelagic deep hole site nearest to dam; at BVR platform closest to dam",37.31288,-79.8159
"BVR",100,"Inflow stream site to BVR on western reservoir arm",37.31957,-79.82437
"BVR",200,"Inflow stream site to BVR on eastern reservoir arm that drains upstream impoundment",37.322851,-79.81721
"CCR",50,"Pelagic deep hole site of Carvins Cove Reservoir near dam (also site 6 for Ironman sampling); the closest access point to the dam via boat and 21 m at full pond",37.3706,-79.9582
"CCR",88,"Pleagic site in Carvins Cove Reservoir at end of Horsepen Branch Cove (also labeled site C-C4); can be sampled at aprox 13m at full pond",37.3693,-79.96389
"CCR",90,"Cove site in Carvins Cove Reservoir along the Horsepen Branch Cove (also labeled site C-C3)",37.3671,-79.9682
"CCR",92,"Cove site in Carvins Cove Reservoir along the Horsepen Branch Cove (also labeled site C-C2); site can completely dry; sampled with a 25m radius of GPS point each time",37.366,-79.9702
"CCR",94,"Cove site in Carvins Cove Reservoir along the Horsepen Branch Cove (also labeled site C-C1); site completely dries for part of year",37.3659,-79.9706
"CCR",96,"Pool site in Carvins Cove Reservoir along the Horsepen Branch stream chanel before entering the reservoir (also labeled site C-P2); site transition from pool to stream like and can completely dries for part of year; sampled with a 25m radius of GPS point each time",37.3661,-79.9712
"CCR",98,"Pool site in Carvins Cove Reservoir along the Horsepen Branch stream chanel before entering the reservoir (also labeled site C-P1); site transition from pool to stream like and can completely dries for part of year; sampled with a 25m radius of GPS point each time",37.36569,-79.97159
"CCR",101,"Inflow stream site to Carvins Cove Reservoir at Horse Pen Branch",37.3646,-79.9733
"CCR",100,"Inflow stream site to Carvins Cove Reservoir where Horse Pen Branch meets the reservoir and is a standing water inflow (downstream of site 100)",37.3654,-79.972
"CCR",201,"Inflow stream site to Carvins Cove Reservoir at Carvins Creek Stream accessed via fireroad near red barns",37.3958,-79.9937
"CCR",300,"Inflow stream site to Carvins Cove Reservoir at Sawmill Branch inflow closest to reservoir (downstream of 301)",37.4094,-79.9699
"CCR",301,"Inflow stream site to Carvins Cove Reservoir at Sawmill Branch inflow site upstream of reservoir where fire road bridge crosses the stream",37.4169,-79.9771
"CCR",400,"Inflow tunnel site to Carvins Cove Reservoir at emergence of Tinker Creek Tunnel",37.39967489,-79.9471728
"CCR",500,"Inflow stream site to Carvins Cove Reservoir downstream of where Catawaba Creek Tunnel emerges",37.4073,-79.9852
"FCR",1,"Outflow stream site at Falling Creek Reservoir spillway",37.30248264,-79.8373672
"FCR",20,"Pelagic upstream site at central depth transect of Falling Creek Reservoir; adjacent to where Tunnel Branch inflow enters into the reservoir",37.30769,-79.8371
"FCR",30,"Pelagic upstream site at central depth transect of Falling Creek Reservoir; approximately halfway between dam and Falling Creek inflow",37.30534,-79.8383
"FCR",45,"Pelagic upstream site at central depth transect of Falling Creek Reservoir; where reservoir flow enters into the deep hole basin of the reservoir",37.30418,-79.8383
"FCR",50,"Pelagic deep hole site nearest to Falling Creek Reservoir dam; at end of FCR catwalk",37.30325,-79.8373
"FCR",99,"Inflow stream site on Tunnel Branch primary inflow to Falling Creek Reservoir just above where the stream enters into the reservoir",37.307613,-79.8360878
"FCR",100,"Inflow stream site on Tunnel Branch primary inflow to Falling Creek Reservoir; long-term monitoring site where gauged weir is located",37.30858,-79.83494
"FCR",101,"Inflow stream site on Tunnel Branch primary inflow to Falling Creek Reservoir; upstream of weir and downstream of confluence of BVR inflow pipe and overland flow stream",37.309653,-79.830467
"FCR",102,"Inflow stream site on Tunnel Branch primary inflow to Falling Creek Reservoir; upstream of weir and just below where the BVR pipe emerges",37.311678,-79.827357
"FCR",200,"Inflow stream site on Falling Creek secondary inflow to Falling Creek Reservoir; also referred to as the wetland stream",37.30943,-79.83619
