Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
190.00	-0.007	0.303	0.287	0.278	0.276	0.282	0.270	0.269	0.272	0.296	0.265	0.344	0.288	0.282	0.266
191.00	-0.008	0.282	0.265	0.258	0.258	0.265	0.251	0.250	0.253	0.282	0.248	0.322	0.271	0.262	0.248
192.00	-0.009	0.261	0.244	0.239	0.237	0.246	0.231	0.230	0.233	0.270	0.228	0.300	0.252	0.241	0.229
193.00	-0.011	0.238	0.222	0.218	0.215	0.226	0.209	0.209	0.212	0.254	0.208	0.277	0.230	0.220	0.208
194.00	-0.012	0.219	0.204	0.202	0.197	0.210	0.193	0.192	0.195	0.242	0.192	0.258	0.213	0.204	0.191
195.00	-0.012	0.203	0.188	0.188	0.181	0.195	0.177	0.176	0.179	0.230	0.178	0.240	0.197	0.188	0.177
196.00	-0.012	0.189	0.175	0.175	0.168	0.182	0.165	0.164	0.166	0.220	0.166	0.225	0.184	0.175	0.165
197.00	-0.013	0.176	0.163	0.164	0.156	0.170	0.152	0.152	0.154	0.210	0.154	0.212	0.172	0.163	0.154
198.00	-0.013	0.165	0.152	0.154	0.146	0.160	0.142	0.142	0.144	0.201	0.144	0.201	0.162	0.153	0.144
199.00	-0.013	0.156	0.143	0.145	0.137	0.151	0.134	0.133	0.135	0.193	0.136	0.191	0.154	0.144	0.136
200.00	-0.013	0.148	0.135	0.138	0.129	0.144	0.126	0.126	0.128	0.185	0.129	0.183	0.146	0.136	0.129
201.00	-0.013	0.140	0.127	0.131	0.121	0.135	0.119	0.119	0.121	0.177	0.122	0.175	0.139	0.129	0.123
202.00	-0.013	0.133	0.120	0.125	0.115	0.128	0.113	0.113	0.115	0.171	0.116	0.168	0.133	0.122	0.117
203.00	-0.013	0.128	0.115	0.119	0.109	0.122	0.108	0.108	0.109	0.165	0.111	0.162	0.127	0.117	0.112
204.00	-0.013	0.122	0.110	0.114	0.104	0.116	0.103	0.103	0.104	0.160	0.106	0.156	0.122	0.112	0.107
