Wavelength nm.	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...	RawData ...
190.00	0.009	0.263	0.254	0.417	0.468	0.260	0.424	0.424
191.00	0.008	0.247	0.244	0.388	0.435	0.248	0.388	0.387
192.00	0.008	0.231	0.235	0.357	0.402	0.238	0.354	0.356
193.00	0.008	0.216	0.225	0.324	0.369	0.227	0.318	0.321
194.00	0.007	0.203	0.216	0.296	0.343	0.218	0.292	0.295
195.00	0.007	0.191	0.209	0.271	0.320	0.210	0.267	0.270
196.00	0.007	0.182	0.203	0.250	0.301	0.204	0.246	0.251
197.00	0.007	0.174	0.199	0.231	0.284	0.198	0.229	0.232
198.00	0.006	0.166	0.194	0.216	0.268	0.194	0.213	0.216
199.00	0.006	0.160	0.191	0.203	0.255	0.190	0.201	0.202
200.00	0.006	0.155	0.187	0.192	0.244	0.187	0.190	0.191
201.00	0.005	0.150	0.184	0.181	0.233	0.183	0.179	0.181
202.00	0.005	0.145	0.181	0.172	0.224	0.180	0.170	0.172
203.00	0.005	0.141	0.179	0.164	0.217	0.177	0.162	0.166
204.00	0.004	0.138	0.176	0.157	0.209	0.174	0.156	0.159
205.00	0.004	0.134	0.173	0.151	0.202	0.171	0.150	0.153
206.00	0.004	0.131	0.171	0.146	0.196	0.169	0.145	0.148
207.00	0.004	0.128	0.168	0.141	0.190	0.166	0.140	0.144
208.00	0.004	0.125	0.165	0.137	0.185	0.163	0.136	0.139
209.00	0.004	0.122	0.163	0.132	0.178	0.160	0.132	0.135
210.00	0.004	0.119	0.160	0.128	0.173	0.158	0.127	0.131
211.00	0.003	0.116	0.157	0.125	0.168	0.155	0.124	0.127
212.00	0.003	0.113	0.154	0.120	0.162	0.152	0.120	0.124
213.00	0.003	0.109	0.152	0.117	0.157	0.149	0.116	0.120
214.00	0.003	0.106	0.149	0.113	0.151	0.146	0.112	0.117
215.00	0.003	0.104	0.147	0.110	0.145	0.143	0.109	0.113
216.00	0.003	0.101	0.144	0.106	0.140	0.140	0.106	0.110
217.00	0.003	0.098	0.141	0.103	0.135	0.138	0.103	0.107
218.00	0.003	0.095	0.139	0.100	0.130	0.136	0.100	0.104
219.00	0.003	0.093	0.137	0.097	0.125	0.134	0.097	0.102
220.00	0.003	0.090	0.135	0.094	0.121	0.131	0.094	0.099
221.00	0.003	0.088	0.133	0.092	0.116	0.129	0.091	0.096
222.00	0.003	0.086	0.131	0.089	0.112	0.127	0.089	0.094
223.00	0.003	0.084	0.129	0.087	0.108	0.125	0.086	0.092
224.00	0.003	0.082	0.127	0.085	0.105	0.123	0.084	0.089
225.00	0.003	0.080	0.125	0.083	0.101	0.122	0.082	0.087
226.00	0.003	0.078	0.123	0.081	0.098	0.120	0.080	0.085
227.00	0.002	0.076	0.122	0.079	0.095	0.118	0.078	0.083
228.00	0.002	0.075	0.120	0.077	0.092	0.116	0.076	0.081
229.00	0.002	0.073	0.118	0.075	0.089	0.114	0.074	0.079
230.00	0.002	0.071	0.116	0.073	0.087	0.112	0.072	0.078
231.00	0.002	0.070	0.114	0.071	0.085	0.111	0.071	0.076
232.00	0.002	0.069	0.113	0.070	0.083	0.109	0.069	0.075
233.00	0.002	0.068	0.111	0.068	0.081	0.107	0.068	0.073
234.00	0.002	0.067	0.110	0.067	0.079	0.106	0.067	0.072
235.00	0.002	0.065	0.108	0.066	0.077	0.104	0.065	0.071
236.00	0.002	0.064	0.107	0.065	0.076	0.103	0.064	0.070
237.00	0.002	0.063	0.105	0.063	0.074	0.101	0.063	0.068
238.00	0.002	0.062	0.104	0.062	0.073	0.100	0.062	0.067
239.00	0.002	0.061	0.102	0.061	0.072	0.099	0.061	0.066
240.00	0.002	0.060	0.101	0.060	0.071	0.097	0.060	0.065
241.00	0.002	0.060	0.100	0.060	0.070	0.096	0.059	0.064
242.00	0.002	0.059	0.098	0.059	0.069	0.095	0.058	0.063
243.00	0.002	0.058	0.097	0.058	0.068	0.094	0.058	0.063
244.00	0.002	0.057	0.096	0.057	0.067	0.093	0.057	0.062
245.00	0.002	0.057	0.095	0.057	0.066	0.091	0.056	0.061
246.00	0.002	0.056	0.094	0.056	0.065	0.090	0.055	0.060
247.00	0.002	0.055	0.093	0.055	0.064	0.089	0.055	0.060
248.00	0.001	0.054	0.091	0.055	0.064	0.088	0.054	0.059
249.00	0.001	0.054	0.091	0.054	0.063	0.087	0.054	0.059
250.00	0.002	0.053	0.090	0.053	0.062	0.087	0.053	0.058
251.00	0.002	0.053	0.089	0.053	0.062	0.086	0.053	0.058
252.00	0.002	0.053	0.088	0.053	0.061	0.085	0.053	0.057
253.00	0.002	0.052	0.087	0.052	0.061	0.084	0.052	0.057
254.00	0.001	0.052	0.086	0.052	0.060	0.083	0.051	0.056
255.00	0.002	0.051	0.086	0.051	0.060	0.083	0.051	0.056
256.00	0.002	0.051	0.085	0.051	0.059	0.082	0.051	0.055
257.00	0.001	0.050	0.084	0.050	0.059	0.081	0.050	0.055
258.00	0.001	0.050	0.084	0.050	0.058	0.080	0.050	0.054
259.00	0.002	0.050	0.083	0.050	0.058	0.080	0.049	0.054
260.00	0.002	0.049	0.082	0.049	0.057	0.079	0.049	0.053
261.00	0.002	0.049	0.082	0.049	0.057	0.079	0.049	0.053
262.00	0.002	0.048	0.081	0.048	0.056	0.078	0.048	0.052
263.00	0.002	0.048	0.080	0.047	0.055	0.077	0.047	0.051
264.00	0.001	0.047	0.079	0.047	0.055	0.076	0.047	0.051
265.00	0.001	0.047	0.079	0.046	0.054	0.075	0.046	0.051
266.00	0.001	0.046	0.078	0.046	0.054	0.075	0.046	0.050
267.00	0.002	0.046	0.077	0.045	0.053	0.074	0.045	0.050
268.00	0.002	0.045	0.077	0.045	0.052	0.073	0.045	0.049
269.00	0.002	0.045	0.076	0.044	0.052	0.072	0.044	0.048
270.00	0.002	0.044	0.075	0.044	0.051	0.072	0.044	0.048
271.00	0.001	0.044	0.074	0.043	0.051	0.071	0.043	0.047
272.00	0.001	0.043	0.074	0.042	0.050	0.070	0.042	0.046
273.00	0.001	0.043	0.073	0.041	0.049	0.069	0.042	0.046
274.00	0.002	0.042	0.072	0.041	0.049	0.068	0.041	0.045
